Unit,Charge_ProductCode,Charge_ProductDesc,Finished_ProductCode,FinishedProductDec,OutputPercent
CRUDE ,1000,A1,1001,NAPHTHA,0.35
CRUDE ,1000,A1,1002,SOLVENT,0.4
CRUDE ,1000,A1,1003,LIGHTWAXYOIL,0.04
CRUDE ,1000,A1,1004,HEAVYWAXYOIL,0.04
CRUDE ,1000,A1,1005,MEDIUMWAXYOIL,0.17
MEK,1003,LIGHTWAXYOIL,1006,LIGHTDEWAXEDOIL,0.8
MEK,1003,LIGHTWAXYOIL,1007,LIGHTWAX,0.2
MEK,1005,MEDIUMWAXYOIL,1008,MEDIUMDEWAXED,0.8
MEK,1005,MEDIUMWAXYOIL,1009,MEDIUMWAX,0.2
MEK,1004,HEAVYWAXYOIL,1010,HEAVYDEWAXED,0.8
MEK,1004,HEAVYWAXYOIL,1011,HEAVYWAX,0.2
EXTRACT,1006,LIGHTDEWAXEDOIL,1012,LIGHTBASEOIL,0.95
EXTRACT,1006,LIGHTDEWAXEDOIL,1013,LIGHTEXTRACT,0.05
EXTRACT,1008,MEDIUMDEWAXED,1014,MEDIUMOIL,0.95
EXTRACT,1008,MEDIUMDEWAXED,1015,MEDIUMEXTRACT,0.05
EXTRACT,1010,HEAVYDEWAXED,1016,HEAVYOIL,0.95
EXTRACT,1010,HEAVYDEWAXED,1017,HEAVYEAXTACT,0.05
HYDRO,1012,LIGHTBASEOIL,1018,LIGHTBASEOILHYDRO,0.98
HYDRO,1012,LIGHTBASEOIL,9999,LOSS,0.02
