id,Product_Code,Product_Description,ClassCode,Division
,0001,HYDROTREATED TEST PROD        ,IN PROCESS-BASE OILS          ,Refinery
,0002,DERESIN HYDRO TEST PROD       ,IN PROCESS-BASE OILS          ,Refinery
,0003,HYDRO TEST RESINS             ,RESINS                        ,Refinery
,0004,DEWAXED HYDRO TEST PROD       ,WAXES                         ,Refinery
,0005,HYDRO TEST WAX                ,SPECIALTY PRODUCTS            ,Refinery
,0006,HYDRO TEST RAFFINATE          ,BASE OILS                     ,Refinery
,0007,HYDRO TEST EXTRACT            ,SPECIALTY PRODUCTS            ,Refinery
,0329,ZERO AEROMATIC MINERAL        ,ADDITIVES-REFINERY            ,Refinery
,0355,DURASYN 164                   ,ADDITIVES-BLENDED LUBES       ,BlendedLubes
,0386,REMNANTS                      ,IN PROCESS-BLD                ,BlendedLubes
,0392,PUR 80 NEUTRAL                ,ADDITIVES-BLENDED LUBES       ,BlendedLubes
,0393,VANLUBE 622                   ,ADDITIVES-BLENDED LUBES       ,BlendedLubes
,0394,IRGAMET 39                    ,ADDITIVES-BLENDED LUBES       ,BlendedLubes
,0400,HIGH PERF MOTOR OIL REMNANTS  ,IN PROCESS-BLD                ,BlendedLubes
,0408,MTBE                          ,ADDITIVES-REFINERY            ,Refinery
,0522,EMPOL 1016                    ,ADDITIVES-REFINERY            ,Refinery
,0528,DAR CHEM 105 OLEIC            ,ADDITIVES-REFINERY            ,Refinery
,0530,OLEIC ACID 105                ,ADDITIVES-REFINERY            ,Refinery
,0568,FATTY ACID                    ,ADDITIVES-REFINERY            ,Refinery
,0570,TRITON NP 57                  ,ADDITIVES-REFINERY            ,Refinery
,0580,NORLIG A 58                   ,ADDITIVES-REFINERY            ,Refinery
,0779,LZ 779A                       ,ADDITIVES-BLENDED LUBES       ,BlendedLubes
,100V,NH MASTERTRAN SSL             ,RESALE-BLENDED LUBES          ,BlendedLubes
,1000,KETJENLUBE 135                ,ADDITIVES-BLENDED LUBES       ,BlendedLubes
,1001,KETJENLUBE 1300               ,ADDITIVES-BLENDED LUBES       ,BlendedLubes
,1003,DB-PC SOLUTION                ,ADDITIVES-BLENDED LUBES       ,BlendedLubes
,1004,IRGANOX L 101                 ,ADDITIVES-REFINERY            ,Refinery
,1005,SOLTEX PB-32                  ,ADDITIVES-BLENDED LUBES       ,BlendedLubes
,1006,LZ ULTRAZOL 8219              ,ADDITIVES-REFINERY            ,Refinery
,1007,UNISOL LIQUID ORANGE DR       ,ADDITIVES-BLENDED LUBES       ,BlendedLubes
,1008,TERGITOL NP 8                 ,ADDITIVES-REFINERY            ,Refinery
,1009,VHVI 4                        ,ADDITIVES-BLENDED LUBES       ,BlendedLubes
,101V,NH AXLE OIL ADDITIVE          ,RESALE-BLENDED LUBES          ,BlendedLubes
,1010,ACETONE                       ,ADDITIVES-BLENDED LUBES       ,BlendedLubes
,1011,METHYL SALICYLATE             ,ADDITIVES-BLENDED LUBES       ,BlendedLubes
,1012,FUNCTIONAL V-162 ANTI-MIST ADD,ADDITIVES-BLENDED LUBES       ,BlendedLubes
,1013,KEROPUR AP 205-20 GASOLINE ADD,ADDITIVES-REFINERY            ,Refinery
,102V,CNH AXLE OIL ADDITIVE         ,RESALE-BLENDED LUBES          ,BlendedLubes
,103V,NEW HOLLAND GR-1000 SYN GREASE,RESALE-BLENDED LUBES          ,BlendedLubes
,104V,NH GR-9 MULTI PURPOSE GREASE  ,RESALE-BLENDED LUBES          ,BlendedLubes
,105V,CNH GR-1000 MULTI PURP GREASE ,RESALE-BLENDED LUBES          ,BlendedLubes
,106V,NH HI TEMP GREASE             ,RESALE-BLENDED LUBES          ,BlendedLubes
,107V,NEW HOLLAND F200              ,RESALE-BLENDED LUBES          ,BlendedLubes
,108V,NEW HOLLAND SAE 5W30          ,RESALE-BLENDED LUBES          ,BlendedLubes
,109V,CNH AUTO SUPREME 10W30        ,RESALE-BLENDED LUBES          ,BlendedLubes
,110V,CNH AUTO SUPREME 5W30         ,RESALE-BLENDED LUBES          ,BlendedLubes
,1101,HERO HBX-1000 (B100 BIODIESEL),ADDITIVES-REFINERY            ,Refinery
,1102,HERO HBX-20OO (B100 BIODIESEL),ADDITIVES-REFINERY            ,Refinery
,1103,HERO HBX-3000 (B100 BIODIESEL),ADDITIVES-REFINERY            ,Refinery
,1105,DENATURED FUEL ETHANOL        ,ADDITIVES-REFINERY            ,Refinery
,1109,HITEC 5748A                   ,ADDITIVES-BLENDED LUBES       ,BlendedLubes
,111V,CNH HYDRODEX 3 ATF            ,RESALE-BLENDED LUBES          ,BlendedLubes
,1111,HITEC 5755                    ,ADDITIVES-BLENDED LUBES       ,BlendedLubes
,1112,HITEC 6888                    ,ADDITIVES-BLENDED LUBES       ,BlendedLubes
,1113,HITECH 6888 E                 ,ADDITIVES-BLENDED LUBES       ,BlendedLubes
,1114,INFINEUM S 1855               ,ADDITIVES-BLENDED LUBES       ,BlendedLubes
,1115,HITECH 5747                   ,ADDITIVES-BLENDED LUBES       ,BlendedLubes
,1116,VHVI 6                        ,ADDITIVES-BLENDED LUBES       ,BlendedLubes
,1117,VHVI 8                        ,ADDITIVES-BLENDED LUBES       ,BlendedLubes
,1118,S910                          ,ADDITIVES-BLENDED LUBES       ,BlendedLubes
,1119,ELCO 313                      ,ADDITIVES-BLENDED LUBES       ,BlendedLubes
,112V,NH ATF                        ,RESALE-BLENDED LUBES          ,BlendedLubes
,1120,OLOA 2000                     ,ADDITIVES-BLENDED LUBES       ,BlendedLubes
,1121,PYLAM FLORO GREEN DYE #2119   ,ADDITIVES-BLENDED LUBES       ,BlendedLubes
,1122,LZ 3530                       ,ADDITIVES-BLENDED LUBES       ,BlendedLubes
,1123,2000 PALE OIL                 ,ADDITIVES-BLENDED LUBES       ,BlendedLubes
,1124,OLOA 219                      ,ADDITIVES-BLENDED LUBES       ,BlendedLubes
,1126,ELCO 102                      ,ADDITIVES-BLENDED LUBES       ,BlendedLubes
,1127,LZ 8719 X                     ,ADDITIVES-BLENDED LUBES       ,BlendedLubes
,1128,ISOMERATE                     ,IN PROCESS-REF                ,Refinery
,1129,LZ 5085                       ,ADDITIVES-BLENDED LUBES       ,BlendedLubes
,113V,CASE LOW ASH SAE 30           ,RESALE-BLENDED LUBES          ,BlendedLubes
,1131,LZ 7719                       ,ADDITIVES-BLENDED LUBES       ,BlendedLubes
,1132,LZ 20001                      ,ADDITIVES-BLENDED LUBES       ,BlendedLubes
,1133,LZ 8676                       ,ADDITIVES-BLENDED LUBES       ,BlendedLubes
,1134,CA AF 47 PREMIX               ,ADDITIVES-BLENDED LUBES       ,BlendedLubes
,1135,OLOA 9725 CX                  ,ADDITIVES-BLENDED LUBES       ,BlendedLubes
,1136,LZ 5770                       ,ADDITIVES-BLENDED LUBES       ,BlendedLubes
,1137,LZ 6880                       ,ADDITIVES-BLENDED LUBES       ,BlendedLubes
,1138,ELCO 313A                     ,ADDITIVES-BLENDED LUBES       ,BlendedLubes
,114V,CASE LOW ASH SAE 10           ,RESALE-BLENDED LUBES          ,BlendedLubes
,1140,OLOA 9730D                    ,ADDITIVES-BLENDED LUBES       ,BlendedLubes
,1141,LZ 6885 A                     ,ADDITIVES-BLENDED LUBES       ,BlendedLubes
,1142,LZ 48007                      ,ADDITIVES-BLENDED LUBES       ,BlendedLubes
,1143,LZ 5318A                      ,ADDITIVES-BLENDED LUBES       ,BlendedLubes
,1144,LZ 6465A                      ,ADDITIVES-BLENDED LUBES       ,BlendedLubes
,1145,SYNATIVE ES 2925-A*BAD-USE1146,ADDITIVES-BLENDED LUBES       ,BlendedLubes
,1146,SYNATIVE ES 2925-A            ,ADDITIVES-BLENDED LUBES       ,BlendedLubes
,1147,LZ 40007                      ,ADDITIVES-BLENDED LUBES       ,BlendedLubes
,1148,INFINEUM V385                 ,ADDITIVES-BLENDED LUBES       ,BlendedLubes
,1149,PD-610                        ,ADDITIVES-BLENDED LUBES       ,BlendedLubes
,115V,CASE HYDRAULIC EXCAV ATOR FLUI,RESALE-BLENDED LUBES          ,BlendedLubes
,1150,OLOA 59034                    ,ADDITIVES-BLENDED LUBES       ,BlendedLubes
,1151,LZ 6477C                      ,ADDITIVES-BLENDED LUBES       ,BlendedLubes
,1152,LZ 400C                       ,ADDITIVES-BLENDED LUBES       ,BlendedLubes
,1153,LZ 600                        ,ADDITIVES-BLENDED LUBES       ,BlendedLubes
,1155,LZ 1395                       ,ADDITIVES-BLENDED LUBES       ,BlendedLubes
,1156,LZ 3108                       ,ADDITIVES-BLENDED LUBES       ,BlendedLubes
,1157,LZ 3702                       ,ADDITIVES-BLENDED LUBES       ,BlendedLubes
,1159,LZ 5006                       ,ADDITIVES-BLENDED LUBES       ,BlendedLubes
,116V,CNH MP GREASE (251H / GR-9)   ,RESALE-BLENDED LUBES          ,BlendedLubes
,1160,LZ 6857G                      ,ADDITIVES-BLENDED LUBES       ,BlendedLubes
,1161,WP 7075F                      ,ADDITIVES-BLENDED LUBES       ,BlendedLubes
,1162,LZ 7819-A                     ,ADDITIVES-BLENDED LUBES       ,BlendedLubes
,1163,LZ 8689                       ,ADDITIVES-BLENDED LUBES       ,BlendedLubes
,1165,LZ 9624-M                     ,ADDITIVES-BLENDED LUBES       ,BlendedLubes
,1169,SURCHEM HYBASE 313            ,ADDITIVES-BLENDED LUBES       ,BlendedLubes
,117V,CASE MULTI PURPOSE GREASE     ,RESALE-BLENDED LUBES          ,BlendedLubes
,1172,AW DHP                        ,ADDITIVES-BLENDED LUBES       ,BlendedLubes
,1174,LZ 3138                       ,ADDITIVES-BLENDED LUBES       ,BlendedLubes
,1175,LYONDELL SUPREME XL RR AD     ,ADDITIVES-BLENDED LUBES       ,BlendedLubes
,1176,LZ 52                         ,ADDITIVES-BLENDED LUBES       ,BlendedLubes
,1177,LZ 8698                       ,ADDITIVES-BLENDED LUBES       ,BlendedLubes
,1178,LZ 7095                       ,ADDITIVES-BLENDED LUBES       ,BlendedLubes
