Unit,Charge_ProductCode,Charge_ProductDesc,Finished_ProductCode,FinishedProductDec,OutputPercent
CRUDE,A1,BLANK,9711,BLANK,0.084
CRUDE,A1,BLANK,9712,BLANK,0.062
CRUDE,A1,BLANK,9703,BLANK,0.13
CRUDE,A1,BLANK,9103,BLANK,0.37
CRUDE,A1,BLANK,9116,BLANK,0.04
CRUDE,A1,BLANK,9117,BLANK,0.175
CRUDE,A1,BLANK,9119,BLANK,0.03
CRUDE,A1,BLANK,4313,BLANK,0.103
CRUDE,B1,BLANK,9118,BLANK,0.175
CRUDE,B1,BLANK,9711,BLANK,0.084
CRUDE,B1,BLANK,9712,BLANK,0.062
CRUDE,B1,BLANK,9703,BLANK,0.13
CRUDE,B1,BLANK,9103,BLANK,0.37
CRUDE,B1,BLANK,9116,BLANK,0.04
CRUDE,B1,BLANK,9119,BLANK,0.03
CRUDE,B1,BLANK,4313,BLANK,0.103
MEK,9116,BLANK,9720,BLANK,0.82
MEK,9117,BLANK,9302,BLANK,0.825
MEK,9202,BLANK,4325,BLANK,0.83
MEK,9119,BLANK,9303,BLANK,0.8
MEK,4317,BLANK,9305,BLANK,0.855
MEK,9116,BLANK,4449,BLANK,0.18
MEK,9117,BLANK,4451,BLANK,0.175
MEK,9202,BLANK,4458,BLANK,0.17
MEK,9119,BLANK,4454,BLANK,0.2
MEK,4317,BLANK,4459,BLANK,0.145
HYDRO,9713,BLANK,8175,BLANK,0.98
HYDRO,8135,BLANK,8135,BLANK,0.98
HYDRO,8170,BLANK,8170,BLANK,0.98
HYDRO,8175,BLANK,8175,BLANK,0.98
HYDRO,9711,BLANK,4115,BLANK,0.85
HYDRO,9712,BLANK,4118,BLANK,0.85
HYDRO,9703,BLANK,4129,BLANK,0.82
HYDRO,4305,BLANK,4315,BLANK,0.92
HYDRO,9720,BLANK,4329,BLANK,0.95
HYDRO,4318,BLANK,4319,BLANK,0.98
EXTRACT,9302,BLANK,4577,BLANK,0.045
EXTRACT,9303,BLANK,4579,BLANK,0.04
EXTRACT,9305,BLANK,4586,BLANK,0.02
EXTRACT,9302,BLANK,9704,BLANK,0.94
EXTRACT,9303,BLANK,4309,BLANK,0.94
EXTRACT,9305,BLANK,4318,BLANK,0.95
TOLLING,9118,BLANK,9202,BLANK,0.91
ROSE,4313,BLANK,4317,BLANK,0.72
ROSE,4313,BLANK,4555,BLANK,0.09
ROSE,4313,BLANK,4554,BLANK,0.19
ROSE,4555,BLANK,4317,BLANK,0.55
ROSE,4555,BLANK,8201,BLANK,0.45
FRAC,9103,BLANK,9505,BLANK,0.162
FRAC,9103,BLANK,4107,BLANK,0.551
FRAC,9103,BLANK,4111,BLANK,0.196
ISOM,9505,BLANK,9501,BLANK,0.968
PLAT,4107,BLANK,9511,BLANK,0.84
