ProductCode,ProductDesc,Date,Qty
A1,CRUDE,1/1/2024,7427
A1,CRUDE,1/2/2024,9098
A1,CRUDE,1/3/2024,8756
A1,CRUDE,1/4/2024,8839
A1,CRUDE,1/5/2024,8759
A1,CRUDE,1/6/2024,8219
A1,CRUDE,1/7/2024,7714
A1,CRUDE,1/8/2024,8118
A1,CRUDE,1/9/2024,7483
A1,CRUDE,1/10/2024,9388
A1,CRUDE,1/11/2024,9697
A1,CRUDE,1/12/2024,8073
A1,CRUDE,1/13/2024,8438
A1,CRUDE,1/14/2024,9686
A1,CRUDE,1/15/2024,8839
A1,CRUDE,1/16/2024,7465
A1,CRUDE,1/17/2024,8413
A1,CRUDE,1/18/2024,8689
A1,CRUDE,1/19/2024,7880
A1,CRUDE,1/20/2024,8286
A1,CRUDE,1/21/2024,9020
A1,CRUDE,1/22/2024,7162
A1,CRUDE,1/23/2024,9573
A1,CRUDE,1/24/2024,9795
A1,CRUDE,1/25/2024,7311
A1,CRUDE,1/26/2024,9028
A1,CRUDE,1/27/2024,8969
A1,CRUDE,1/28/2024,7810
A1,CRUDE,1/29/2024,9617
A1,CRUDE,1/30/2024,9011
A1,CRUDE,1/31/2024,9069
A1,CRUDE,2/1/2024,7135
A1,CRUDE,2/2/2024,7292
A1,CRUDE,2/3/2024,8374
A1,CRUDE,2/4/2024,9745
A1,CRUDE,2/5/2024,8268
A1,CRUDE,2/6/2024,9349
A1,CRUDE,2/7/2024,8896
A1,CRUDE,2/8/2024,7642
A1,CRUDE,2/9/2024,9332
A1,CRUDE,2/10/2024,9706
A1,CRUDE,2/11/2024,7090
A1,CRUDE,2/12/2024,7372
A1,CRUDE,2/13/2024,8131
A1,CRUDE,2/14/2024,7586
A1,CRUDE,2/15/2024,7026
A1,CRUDE,2/16/2024,7060
A1,CRUDE,2/17/2024,8265
A1,CRUDE,2/18/2024,9531
A1,CRUDE,2/19/2024,9633
A1,CRUDE,2/20/2024,9293
A1,CRUDE,2/21/2024,9450
A1,CRUDE,2/22/2024,7544
A1,CRUDE,2/23/2024,7994
A1,CRUDE,2/24/2024,7776
A1,CRUDE,2/25/2024,7781
A1,CRUDE,2/26/2024,8702
A1,CRUDE,2/27/2024,9460
A1,CRUDE,2/28/2024,9554
