Month,Finished_Product,Finished_Product_Dec,Qty
202401,8175,BLANK,3000000
202401,4451,BLANK,320000
202401,4459,BLANK,105000
202401,4449,BLANK,80000
202401,4454,BLANK,50000
202401,4464,BLANK,6000
202401,4118,BLANK,125000
202401,4115,BLANK,30000
202401,4129,BLANK,250000
202401,4131,BLANK,25000
202401,4127,BLANK,450000
202401,4136,BLANK,220000
202401,4141,BLANK,390000
202401,4143,BLANK,80000
202401,4144,BLANK,250000
202401,4142,BLANK,50000
202401,4111,BLANK,200000
202401,4107,BLANK,20000
202401,4104,BLANK,16000
202401,4102,BLANK,7000
202401,4315,BLANK,340000
202401,4305,BLANK,420000
202401,4329,BLANK,320000
202401,4303,BLANK,80000
202401,4304,BLANK,45000
202401,4306,BLANK,50000
202401,4316,BLANK,6000
202401,4318,,250000
202401,4319,,200000
202401,9202,,230000
202401,4313,,26000
202401,4317,,270000
202401,4554,,130000
202401,4555,,26000
202401,4618,,96000
202401,4577,,10000
202401,4586,,4000
202401,4590,,10000
202401,4571,,1000
202401,4670,,4000
202401,4608,,1000
202401,4561,,6000
202401,4312,,4000
202401,4570,,1000
202401,4573,,10000
202401,4421,,10000
