FINISHED_PRODUCTDESC,COMPONENT_PRODUCTCODE,FINISHED_PRODUCTCODE,COMPONENT_PRODUCTDESC,BLEND_PERCENT
1003,1240,DB-PC SOLUTION                ,ADDITIN RC3740 396D           ,0.13895
1003,4318,DB-PC SOLUTION                ,ARGOLD LEGACY                 ,0.73818
1003,5677,DB-PC SOLUTION                ,XTENDRA BHT                   ,0.12287
1134,8507,CA AF 47 PREMIX               ,HATCO 2955                    ,0.46027
1134,8508,CA AF 47 PREMIX               ,R0177A                        ,0.14896
1134,8511,CA AF 47 PREMIX               ,VANLUBE 7723                  ,0.11815
1134,8516,CA AF 47 PREMIX               ,INFINIUM IDN 2593 A           ,0.00495
1134,8522,CA AF 47 PREMIX               ,INFINEUM C-8455B              ,0.12026
1134,8524,CA AF 47 PREMIX               ,INFINEUM C9230                ,0.13472
1134,8535,CA AF 47 PREMIX               ,CA-1892                       ,0.01269
1161,1248,WP 7075F                      ,LZ 7065C                      ,0.09063
1161,4305,WP 7075F                      ,KENDEX 0150                   ,0.90937
1225,1247,PAR 8010                      ,PARATONE 8910                 ,0.07456
1225,4305,PAR 8010                      ,KENDEX 0150                   ,0.92544
4101,5015,KENSOL 8                      ,LIGHT STRAIGHT RUN            ,1
4102,1128,KENSOL 10                     ,ISOMERATE                     ,0.33
4102,4107,KENSOL 10                     ,KENSOL 17                     ,0.67
4104,4107,KENSOL 13                     ,KENSOL 17                     ,1
4108,4114,KENSOL 48R                    ,KENSOL 48T                    ,0.65
4108,4221,KENSOL 48R                    ,KENSOL 48L                    ,0.35
4109,4115,KENSOL 49H                    ,KENSOL 48H                    ,0.6
4109,4118,KENSOL 49H                    ,KENSOL 50H                    ,0.4
4112,4111,KENSOL K-1                    ,KENSOL 30                     ,0.45
4112,4115,KENSOL K-1                    ,KENSOL 48H                    ,0.55
4124,4118,KENSOL 6180                   ,KENSOL 50H                    ,0.2
4124,4127,KENSOL 6180                   ,KENSOL 61 UNHT                ,0.8
4128,8103,KENSOL A                      ,#2 ONROAD DIESEL S-500 UNDYED ,1
4130,8102,KENSOL B                      ,#1 ONROAD DIESEL S-500 UNDYED ,1
4131,4118,KENSOL 6150                   ,KENSOL 50H                    ,0.3
4131,4129,KENSOL 6150                   ,KENSOL 61H                    ,0.7
4136,4115,KENSOL DMF HV                 ,KENSOL 48H                    ,0.25
4136,4118,KENSOL DMF HV                 ,KENSOL 50H                    ,0.75
4137,4115,KENSOL BRD                    ,KENSOL 48H                    ,0.8
4137,4118,KENSOL BRD                    ,KENSOL 50H                    ,0.2
4138,4115,KENSOL DMF 5050               ,KENSOL 48H                    ,0.5
4138,4118,KENSOL DMF 5050               ,KENSOL 50H                    ,0.5
4140,4115,KENSOL DMF LV                 ,KENSOL 48H                    ,0.6
4140,4118,KENSOL DMF LV                 ,KENSOL 50H                    ,0.4
4141,4115,KENSOL DMF MV                 ,KENSOL 48H                    ,0.5
4141,4118,KENSOL DMF MV                 ,KENSOL 50H                    ,0.5
4142,4115,KENSOL BRD-PLUS               ,KENSOL 48H                    ,0.5
4142,4127,KENSOL BRD-PLUS               ,KENSOL 61 UNHT                ,0.5
4143,4115,KENSOL DMF 48H                ,KENSOL 48H                    ,1
4144,4118,KENSOL DMF 50H                ,KENSOL 50H                    ,1
4192,1815,APO-2                         ,KEMESTER 2000                 ,0.018
4192,4117,APO-2                         ,KENSOL 51                     ,0.952
4192,4490,APO-2                         ,ALFOL 12                      ,0.011
4192,4601,APO-2                         ,ISOPROPYL ALCOHOL             ,0.007
4194,4115,KENSOL TCS  TRUCK BLEND       ,KENSOL 48H                    ,0.32
4194,4118,KENSOL TCS  TRUCK BLEND       ,KENSOL 50H                    ,0.68
4300,4315,KENDEX 200H                   ,KENDEX 0150H                  ,0.87
4300,4319,KENDEX 200H                   ,ARGOLD                        ,0.13
4301,4315,KENDEX 250H                   ,KENDEX 0150H                  ,0.815
4301,4319,KENDEX 250H                   ,ARGOLD                        ,0.185
4302,4305,KENDEX 325H                   ,KENDEX 0150                   ,0.45
4302,4309,KENDEX 325H                   ,KENDEX 0750                   ,0.55
4303,4315,KENDEX 0070                   ,KENDEX 0150H                  ,0.35
4303,4329,KENDEX 0070                   ,KENDEX 0060HT                 ,0.65
4304,4315,KENDEX 300H                   ,KENDEX 0150H                  ,0.7175
4304,4319,KENDEX 300H                   ,ARGOLD                        ,0.2825
4306,4315,KENDEX 0100                   ,KENDEX 0150H                  ,0.64
4306,4329,KENDEX 0100                   ,KENDEX 0060HT                 ,0.36
4308,4315,INTERFACE                     ,KENDEX 0150H                  ,0.64
4308,4327,INTERFACE                     ,KENDEX 0060H                  ,0.36
4310,4315,KENDEX 500H                   ,KENDEX 0150H                  ,0.53
4310,4319,KENDEX 500H                   ,ARGOLD                        ,0.47
4312,4313,KENDEX 0840                   ,KENDEX 0842                   ,0.12
4312,4318,KENDEX 0840                   ,ARGOLD LEGACY                 ,0.76
4312,4554,KENDEX 0840                   ,KENDEX 0834                   ,0.12
4314,4311,KENDEX 0200V                  ,KENDEX 0060                   ,0.5585
4314,4318,KENDEX 0200V                  ,ARGOLD LEGACY                 ,0.4415
4316,4315,KENDEX 600H                   ,KENDEX 0150H                  ,0.4875
4316,4319,KENDEX 600H                   ,ARGOLD                        ,0.5125
4323,4315,KENDEX KING                   ,KENDEX 0150H                  ,0.565
4323,4327,KENDEX KING                   ,KENDEX 0060H                  ,0.435
4324,4315,KENDEX 325H                   ,KENDEX 0150H                  ,0.67
4324,4319,KENDEX 325H                   ,ARGOLD                        ,0.33
4333,1131,KENDEX DUST DEFENSE           ,LZ 7719                       ,0.001
4333,4329,KENDEX DUST DEFENSE           ,KENDEX 0060HT                 ,0.999
4391,1149,KENDEX LMO 0261               ,PD-610                        ,0.0005
4391,4315,KENDEX LMO 0261               ,KENDEX 0150H                  ,0.59
4391,4329,KENDEX LMO 0261               ,KENDEX 0060HT                 ,0.4089
4391,4401,KENDEX LMO 0261               ,ARG ANTI-FOAM                 ,0.0001
4391,5903,KENDEX LMO 0261               ,ATPET 200                     ,0.0005
4392,1161,BATTERY OIL                   ,WP 7075F                      ,0.109
4392,1183,BATTERY OIL                   ,CROSS L-60                    ,0.38
4392,2122,BATTERY OIL                   ,PPM BLUE                      ,0.0002
4392,6157,BATTERY OIL                   ,DURASYN 166                   ,0.4998
4392,6613,BATTERY OIL                   ,LZ 5186B                      ,0.011
4393,1161,KENDEX BATTERY OIL GREEN      ,WP 7075F                      ,0.109
4393,1183,KENDEX BATTERY OIL GREEN      ,CROSS L-60                    ,0.38
4393,2019,KENDEX BATTERY OIL GREEN      ,PPM GREEN                     ,0.0002
4393,6157,KENDEX BATTERY OIL GREEN      ,DURASYN 166                   ,0.4998
4393,6613,KENDEX BATTERY OIL GREEN      ,LZ 5186B                      ,0.011
4401,4115,ARG ANTI-FOAM                 ,KENSOL 48H                    ,0.82
4401,4326,ARG ANTI-FOAM                 ,DOW CHEMICAL 1000 CST        ,0.09
4401,4359,ARG ANTI-FOAM                 ,DOW CHEMICAL 60000 CST       ,0.09
4402,1228,LP 2 STROKE PREMIX #1         ,LZ 424R                       ,0.54387
4402,4315,LP 2 STROKE PREMIX #1         ,KENDEX 0150H                  ,0.45613
4403,4115,LP 2 STROKE PREMIX #2         ,KENSOL 48H                    ,0.2644
4403,4309,LP 2 STROKE PREMIX #2         ,KENDEX 0750                   ,0.24901
4403,4318,LP 2 STROKE PREMIX #2         ,ARGOLD LEGACY                 ,0.16946
4403,4402,LP 2 STROKE PREMIX #2         ,LP 2 STROKE PREMIX #1         ,0.31713
4404,1267,LZ 1038U PRE-MIX BLEND        ,LZ 1038U                      ,0.72324
4404,4305,LZ 1038U PRE-MIX BLEND        ,KENDEX 0150                   ,0.27676
4406,1283,CHEMALOY F655                 ,XIAMETER PXM-200 30000 CST  ,0.01
4406,4111,CHEMALOY F655                 ,KENSOL 30                     ,0.99
4408,1149,RCK DRLL OIL ISO VG 1000 PREMX,PD-610                        ,0.002
